,total_rainfall,year,month,wet_bulb_temperature,kwh_per_acc,elec_tariffs,rainy_days
391,241.0,2014,8,24.933198924731183,682.8828125,27.0,20
392,83.6,2014,9,25.079583333333332,641.07421875,27.0,9
393,120.0,2014,10,25.170295698924733,643.81796875,27.0,10
394,250.8,2014,11,25.094722222222224,661.758984375,27.0,23
395,245.6,2014,12,24.71545698924731,606.98671875,27.0,17
396,79.6,2015,1,23.8377688172043,581.6767716535433,22.8,6
397,18.8,2015,2,23.633035714285715,532.6161417322835,22.8,6
398,84.4,2015,3,24.765860215053763,559.503937007874,22.8,5
399,73.2,2015,4,25.373055555555553,637.9803149606299,22.8,13
400,89.0,2015,5,25.795564516129033,635.627734375,22.8,12
401,95.8,2015,6,25.58625,652.4758754863813,22.8,10
402,116.8,2015,7,25.54422043010753,667.7125984251968,22.8,13
403,185.8,2015,8,25.17755376344086,666.115625,22.8,11
404,61.6,2015,9,25.183611111111112,661.7488188976379,22.8,8
405,87.2,2015,10,25.2127688172043,669.443137254902,22.8,9
406,72.6,2015,11,25.090416666666666,672.1917322834646,22.8,13
407,302.3,2015,12,25.13037634408602,637.1225680933852,22.8,19
408,126.6,2016,1,25.472580645161287,596.243137254902,19.7,15
409,186.0,2016,2,24.938505747126438,593.794552529183,19.7,10
410,6.2,2016,3,25.40456989247312,618.951953125,19.7,6
411,89.8,2016,4,25.945277777777775,660.1276816608996,19.7,14
412,193.8,2016,5,26.075806451612905,689.1481228668941,19.7,12
413,162.8,2016,6,25.419166666666666,699.1931740614334,19.7,13
414,168.6,2016,7,25.259543010752687,639.6460207612457,19.7,20
415,139.2,2016,8,25.236155913978497,637.173448275862,19.7,15
416,118.9,2016,9,24.610138888888887,646.723875432526,19.7,15
417,181.0,2016,10,24.35282258064516,676.3586614173229,19.7,16
418,290.2,2016,11,24.353194444444444,662.3245059288538,19.7,20
419,292.6,2016,12,23.570833333333333,591.1814229249012,19.7,23
420,197.6,2017,1,24.893010752688173,572.4892733564013,21.2,21
421,158.4,2017,2,24.679464285714282,573.2006920415225,21.2,15
422,136.2,2017,3,24.988440860215057,537.715570934256,21.2,11
423,208.6,2017,4,25.54638888888889,579.422491349481,21.2,21
424,190.0,2017,5,26.114650537634407,605.0314878892734,21.2,15
425,106.0,2017,6,25.75847222222222,656.385763888889,21.2,10
426,79.6,2017,7,25.50577956989247,657.268858131488,21.2,9
427,84.2,2017,8,25.39059139784946,604.8705882352941,21.2,18
428,124.4,2017,9,25.380555555555556,602.3958477508651,21.2,19
429,120.8,2017,10,25.47970430107527,602.0384083044983,21.2,18
430,268.6,2017,11,25.229999999999997,598.3809027777778,21.2,24
431,371.2,2017,12,25.010080645161292,563.6114186851212,21.2,23
432,287.0,2018,1,24.34543010752688,493.55900277008305,23.1,25
433,14.8,2018,2,24.058630952380952,452.45773480662984,23.1,5
434,44.6,2018,3,24.96532258064516,464.9469613259668,23.1,10
435,61.2,2018,4,25.470000000000002,525.9472375690608,23.1,14
436,132.2,2018,5,25.72244623655914,545.4044198895027,23.1,19
437,182.6,2018,6,25.57097222222222,576.0016666666667,23.1,17
438,143.2,2018,7,25.403091397849465,532.6398891966759,23.1,10
439,121.6,2018,8,25.324596774193548,520.7541666666667,23.1,11
440,144.4,2018,9,24.81625,535.0633333333333,23.1,13
441,234.4,2018,10,25.083870967741937,539.9586111111112,23.1,18
442,169.6,2018,11,25.04638888888889,519.4547222222222,23.1,27
443,172.6,2018,12,25.06532258064516,470.5022222222222,23.1,19
444,63.6,2019,1,24.605376344086025,494.21606648199446,23.6,9
445,31.6,2019,2,24.58169642857143,502.42216066481996,23.6,5
446,72.2,2019,3,24.7375,489.57783933518004,23.6,6
447,174.8,2019,4,25.502777777777776,526.7360110803324,23.6,9
448,69.0,2019,5,26.34193548387097,548.4894736842106,23.6,13
