,total_rainfall,year,month,wet_bulb_temperature,kwh_per_acc,gas_kwh_per_acc,temp_extremes_min,max_temperature,temp_var,price_electtariffs_inflatnadjusted_cent_per_kwh,mean_temp,elec_price
57,133.4,2009,10,25.861424731182797,678.926171875,89.62378048780488,23.4,33.9,10.5,23.9,28.2,162.263355078125
58,281.8,2009,11,25.274583333333336,693.7109375,89.09480122324159,23.5,34.1,10.600000000000001,23.9,27.2,165.79691406249998
59,189.8,2009,12,25.261693548387097,638.931640625,85.32256097560975,23.2,32.6,9.400000000000002,23.9,27.1,152.704662109375
60,69.5,2010,1,25.016397849462365,606.30546875,87.47439024390243,21.8,32.3,10.499999999999996,27.0,27.5,163.7024765625
61,6.3,2010,2,25.641964285714288,625.0515625,87.74969512195122,23.8,35.2,11.400000000000002,27.0,28.9,168.76392187500002
62,238.0,2010,3,25.731989247311827,682.4291828793774,86.6405487804878,22.8,35.5,12.7,27.0,28.6,184.2558793774319
63,158.5,2010,4,26.349444444444444,716.9836575875486,88.14495412844038,22.5,34.5,12.0,27.0,28.6,193.58558754863813
64,157.5,2010,5,26.713575268817205,699.5513618677044,85.25932721712537,22.9,35.2,12.300000000000004,27.0,29.2,188.8788677042802
65,240.5,2010,6,26.11875,730.5260700389106,85.44268292682926,23.0,33.5,10.5,27.0,28.3,197.24203891050587
66,298.5,2010,7,25.6497311827957,685.3330708661417,83.55060975609756,22.4,33.4,11.0,27.0,27.7,185.03992913385827
67,158.4,2010,8,25.741263440860216,634.448046875,88.1435975609756,22.0,33.1,11.100000000000001,27.0,27.9,171.30097265625002
68,121.5,2010,9,25.610833333333332,646.8227450980391,90.4935582822086,22.6,33.2,10.600000000000001,27.0,28.0,174.64214117647057
69,166.2,2010,10,25.80282258064516,686.214453125,88.10424242424243,22.6,34.1,11.5,27.0,28.3,185.27790234375001
70,278.8,2010,11,25.448611111111113,722.644804647451,88.95396341463415,21.7,33.1,11.400000000000002,27.0,27.4,195.11409725481178
